"Sample Plan (Id) / Plan d'échantillonage (Id)","Sampling Plan - Description / Plan d'échantillonage - Description","Date Sampled (YYYY/MM/DD) / Date d'échantillonage (AAAA/MM/JJ)","System ID / ID Système","Product Description / Description du Produit","Organic? / Biologique?","Country of Origin / Pays d'Origine","Function / Fonction","Analysis Type - Description / Type d'Analyse - Description","Method Number / No de Méthode","Value Text / Valeur textuelle","Unit / Unité","Analysis Assessment / Évaluation de l'Analyse"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014VMAX00624","Field / De Champs","No / Non","Unknown / Inconnu","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014VMAX00624","Field / De Champs","No / Non","Unknown / Inconnu","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-29","B2014VMAX00624","Field / De Champs","No / Non","Unknown / Inconnu","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-02","B2014VMAX00625","Slicing / Long","No / Non","Unknown / Inconnu","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-02","B2014VMAX00625","Slicing / Long","No / Non","Unknown / Inconnu","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-02","B2014VMAX00625","Slicing / Long","No / Non","Unknown / Inconnu","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-02","B2014VMAX00625","Slicing / Long","No / Non","Unknown / Inconnu","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014VMAX00626","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014VMAX00626","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014VMAX00626","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014VMAX00626","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014VMAX00627","Field / De Champs","No / Non","Unknown / Inconnu","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014VMAX00627","Field / De Champs","No / Non","Unknown / Inconnu","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014VMAX00627","Field / De Champs","No / Non","Unknown / Inconnu","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014VMAX00627","Field / De Champs","No / Non","Unknown / Inconnu","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-01","B2014VMAX00628","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-01","B2014VMAX00628","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-01","B2014VMAX00628","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-01","B2014VMAX00628","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-02","B2014VMAX00629","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-02","B2014VMAX00629","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-02","B2014VMAX00629","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-02","B2014VMAX00629","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-03","B2014VMAX00630","Unspecified / Non spécifié","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-03","B2014VMAX00630","Unspecified / Non spécifié","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-03","B2014VMAX00630","Unspecified / Non spécifié","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-03","B2014VMAX00630","Unspecified / Non spécifié","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX00631","Unspecified / Non spécifié","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX00631","Unspecified / Non spécifié","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX00631","Unspecified / Non spécifié","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX00631","Unspecified / Non spécifié","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00699","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00699","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00699","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00699","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00700","Mini","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00700","Mini","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00700","Mini","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00700","Mini","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00701","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00701","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00701","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00701","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00702","Field / De Champs","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00702","Field / De Champs","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00702","Field / De Champs","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00702","Field / De Champs","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00703","Specialty / Spécialité","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00703","Specialty / Spécialité","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00703","Specialty / Spécialité","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00703","Specialty / Spécialité","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00704","Mini","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00704","Mini","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00704","Mini","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00704","Mini","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00705","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00705","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00705","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014VMAX00705","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-30","B2014VMAX00706","Unspecified / Non spécifié","Yes / Oui","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-30","B2014VMAX00706","Unspecified / Non spécifié","Yes / Oui","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-30","B2014VMAX00706","Unspecified / Non spécifié","Yes / Oui","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-30","B2014VMAX00706","Unspecified / Non spécifié","Yes / Oui","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01471","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01471","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01471","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01471","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01472","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01472","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01472","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01472","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01473","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01473","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01473","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-06","B2014VMAX01473","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01474","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01474","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01474","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01474","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01475","Mini","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01475","Mini","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01475","Mini","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01475","Mini","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01476","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01476","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01476","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-21","B2014VMAX01476","Unspecified / Non spécifié","No / Non","Unknown / Inconnu","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-27","B2014VMAX01477","Unspecified / Non spécifié","No / Non","SPAIN / Espagne","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-27","B2014VMAX01477","Unspecified / Non spécifié","No / Non","SPAIN / Espagne","IMPORT / Importation","Salmonella","MFLP-29","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-27","B2014VMAX01477","Unspecified / Non spécifié","No / Non","SPAIN / Espagne","IMPORT / Importation","E. coli O 157","MFLP-80","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-27","B2014VMAX01477","Unspecified / Non spécifié","No / Non","SPAIN / Espagne","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-27","B2014VMAX01478","Unspecified / Non spécifié","Yes / Oui","SPAIN / Espagne","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-27","B2014VMAX01478","Unspecified / Non spécifié","Yes / Oui","SPAIN / Espagne","IMPORT / Importation","Salmonella","MFLP-29","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-27","B2014VMAX01478","Unspecified / Non spécifié","Yes / Oui","SPAIN / Espagne","IMPORT / Importation","E. coli O 157","MFLP-80","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-27","B2014VMAX01478","Unspecified / Non spécifié","Yes / Oui","SPAIN / Espagne","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014VMAX01546","Unspecified / Non spécifié","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014VMAX01546","Unspecified / Non spécifié","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014VMAX01546","Unspecified / Non spécifié","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014VMAX01546","Unspecified / Non spécifié","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
